GEOGRAPHY,ECODE,AREA_NAME,BAND,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
LAUA,E09000002,Barking and Dagenham,F,2.5,20,10,270,2.5,2.5,0,0,2.5,20,10,0,2.5,330
LAUA,E09000002,Barking and Dagenham,G,2.5,2.5,20,2.5,2.5,0,0,2.5,2.5,2.5,2.5,0,2.5,40
LAUA,E09000002,Barking and Dagenham,H,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,0,10,20
LAUA,E09000003,Barnet,All,"10,250","21,550","20,080","33,890","7,000","7,930","8,570","7,300","8,740","5,740","7,590","4,860",480,"143,990"
LAUA,E09000003,Barnet,A,630,940,420,290,60,160,420,110,160,40,190,50,30,"3,490"
LAUA,E09000003,Barnet,B,760,"1,010",740,860,360,930,"2,160","1,350","1,090",220,260,190,40,"9,960"
LAUA,E09000003,Barnet,C,"2,610","3,420","3,080","4,110","2,140","2,390","1,860","2,110","3,110",990,"1,140","1,130",80,"28,150"
LAUA,E09000003,Barnet,D,"2,700","4,480","4,560","5,090","2,460","1,990","1,980","2,050","2,270","1,530","2,360","1,790",110,"33,350"
LAUA,E09000003,Barnet,E,"2,050","4,280","3,420","11,710",640,850,"1,090",840,900,"1,300","2,150",820,70,"30,120"
LAUA,E09000003,Barnet,F,910,"3,490","3,900","6,070",580,580,580,390,520,990,710,430,40,"19,190"
LAUA,E09000003,Barnet,G,480,"3,250","3,260","4,590",680,780,360,370,570,510,510,300,60,"15,700"
LAUA,E09000003,Barnet,H,120,690,700,"1,190",80,250,130,80,120,170,290,160,50,"4,030"
LAUA,E09000004,Bexley,All,"6,530","3,930","3,870","37,570","6,100","9,840","6,950","7,280","5,680","3,410","2,420","2,070",750,"96,400"
LAUA,E09000004,Bexley,A,160,80,10,40,220,600,"1,500","1,320",200,40,20,10,40,"4,230"
LAUA,E09000004,Bexley,B,750,340,150,540,810,"1,760",910,"1,940","1,740",740,240,290,210,"10,410"
LAUA,E09000004,Bexley,C,"3,480","2,260","1,600","4,790","2,260","3,060","2,400","2,630","2,650","1,430","1,070","1,100",200,"28,940"
LAUA,E09000004,Bexley,D,"1,210",750,930,"15,500","1,780","2,160","1,270",870,500,910,710,350,90,"27,060"
LAUA,E09000004,Bexley,E,490,260,800,"13,470",740,"1,700",600,320,170,140,240,240,90,"19,260"
LAUA,E09000004,Bexley,F,230,130,250,"2,780",200,400,190,150,190,60,80,50,60,"4,770"
LAUA,E09000004,Bexley,G,210,120,120,440,90,150,70,50,230,90,50,20,50,"1,680"
LAUA,E09000004,Bexley,H,10,2.5,2.5,10,2.5,2.5,2.5,0,10,0,10,10,10,50
LAUA,E09000005,Brent,All,"26,640","10,330","14,120","28,250","3,340","3,050","4,070","4,140","4,480","3,900","8,170","4,270",140,"114,890"
LAUA,E09000005,Brent,A,"1,760",380,210,280,50,60,430,190,70,30,100,430,10,"3,980"
LAUA,E09000005,Brent,B,"3,150",480,380,"2,170",380,"1,020","1,310","1,340",800,360,890,280,20,"12,580"
LAUA,E09000005,Brent,C,"9,940","2,710","2,100","5,150","1,210","1,350","1,630","1,570","2,630","1,920","2,710","1,500",60,"34,470"
LAUA,E09000005,Brent,D,"7,190","3,610","5,380","6,960",970,450,560,770,800,"1,050","2,970","1,730",20,"32,460"
LAUA,E09000005,Brent,E,"3,090","2,120","4,100","9,670",350,70,100,220,130,320,"1,120",260,30,"21,590"
LAUA,E09000005,Brent,F,940,660,"1,230","2,540",170,50,20,40,10,180,330,50,2.5,"6,230"
LAUA,E09000005,Brent,G,520,360,650,"1,390",200,50,20,10,20,50,40,20,2.5,"3,330"
LAUA,E09000005,Brent,H,40,10,70,90,10,2.5,0,2.5,10,10,10,2.5,2.5,250
LAUA,E09000006,Bromley,All,"16,790","6,980","5,950","36,790","12,050","13,120","12,950","11,370","8,010","2,840","6,410","3,090","1,220","137,560"
LAUA,E09000006,Bromley,A,280,90,30,50,290,50,170,370,320,20,70,30,110,"1,880"
LAUA,E09000006,Bromley,B,"2,580",560,150,900,"1,210",960,790,"1,310",840,140,290,80,120,"9,930"
LAUA,E09000006,Bromley,C,"5,160","1,830",950,"3,800","2,260","2,670","3,170","3,160","2,730",540,"1,260",860,270,"28,660"
LAUA,E09000006,Bromley,D,"5,410","2,280","1,840","6,310","5,250","2,550","4,150","3,040","1,520",870,"1,490",740,210,"35,660"
LAUA,E09000006,Bromley,E,"1,380",970,"1,360","13,410","1,610","3,080","2,140","1,290",840,450,"1,390",670,160,"28,750"
LAUA,E09000006,Bromley,F,990,600,880,"7,410",820,"2,250","1,220","1,090",770,350,980,320,110,"17,790"
LAUA,E09000006,Bromley,G,870,590,650,"4,610",560,"1,490","1,260","1,050",920,410,650,210,170,"13,460"
LAUA,E09000006,Bromley,H,120,60,90,300,50,50,40,60,90,70,270,160,80,"1,440"
