G,ECODE,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
LSOA,E01033325,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5
LSOA,E01033325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033327,440,20,2.5,10,10,2.5,10,2.5,10,0,140,70,50,750
LSOA,E01033327,40,2.5,2.5,0,0,0,0,0,0,0,2.5,2.5,2.5,50
LSOA,E01033327,170,10,0,2.5,0,2.5,2.5,0,2.5,0,90,20,40,330
LSOA,E01033327,100,10,0,2.5,2.5,0,2.5,0,2.5,0,50,40,10,220
LSOA,E01033327,120,0,0,2.5,2.5,2.5,0,2.5,0,0,0,2.5,2.5,130
LSOA,E01033327,10,0,0,0,2.5,0,0,0,0,0,0,0,0,20
LSOA,E01033327,0,2.5,0,2.5,0,0,0,0,0,0,0,2.5,2.5,10
LSOA,E01033327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033327,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033341,250,10,10,10,20,40,30,30,60,0,50,40,40,560
LSOA,E01033341,10,0,0,0,0,0,20,0,0,0,2.5,10,2.5,40
LSOA,E01033341,100,10,2.5,10,20,30,10,0,0,0,20,10,20,230
LSOA,E01033341,90,2.5,0,0,0,10,0,0,50,0,20,20,10,210
LSOA,E01033341,10,0,0,0,0,0,0,30,10,0,0,0,0,40
LSOA,E01033341,20,0,2.5,0,0,0,0,0,0,0,0,0,0,20
LSOA,E01033341,20,0,0,0,0,0,0,0,0,0,0,0,0,20
LSOA,E01033341,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5
LSOA,E01033341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033424,0,0,0,0,0,100,2.5,0,0,0,290,590,0,970
LSOA,E01033424,0,0,0,0,0,10,0,0,0,0,0,180,0,180
LSOA,E01033424,0,0,0,0,0,90,0,0,0,0,10,10,0,120
LSOA,E01033424,0,0,0,0,0,2.5,0,0,0,0,160,110,0,270
LSOA,E01033424,0,0,0,0,0,0,2.5,0,0,0,80,230,0,310
LSOA,E01033424,0,0,0,0,0,0,0,0,0,0,10,50,0,60
LSOA,E01033424,0,0,0,0,0,0,0,0,0,0,20,0,0,20
LSOA,E01033424,0,0,0,0,0,0,0,0,0,0,10,0,0,10
LSOA,E01033424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033455,410,60,0,0,2.5,2.5,0,0,10,2.5,30,20,2.5,520
LSOA,E01033455,60,10,0,0,0,0,0,0,0,0,0,2.5,0,70
LSOA,E01033455,130,0,0,0,0,2.5,0,0,10,0,10,2.5,0,150
LSOA,E01033455,120,40,0,0,0,2.5,0,0,0,2.5,20,10,2.5,180
LSOA,E01033455,100,2.5,0,0,2.5,0,0,0,0,0,0,2.5,0,100
LSOA,E01033455,10,10,0,0,0,0,0,0,0,0,0,0,0,20
LSOA,E01033455,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033455,0,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5
LSOA,E01033456,40,0,100,20,0,0,40,0,0,110,420,70,0,810
LSOA,E01033456,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033456,0,0,30,20,0,0,40,0,0,40,90,20,0,230
LSOA,E01033456,40,0,40,0,0,0,0,0,0,10,120,10,0,230
LSOA,E01033456,0,0,30,10,0,0,0,0,0,60,140,40,0,260
LSOA,E01033456,0,0,0,0,0,0,0,0,0,0,70,2.5,0,70
LSOA,E01033456,0,0,0,0,0,0,0,0,0,0,10,0,0,10
LSOA,E01033456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033456,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01033457,0,70,260,150,2.5,2.5,10,0,40,20,40,0,0,580
LSOA,E01033457,0,10,2.5,2.5,0,0,2.5,0,0,0,0,0,0,20
LSOA,E01033457,0,0,20,110,2.5,0,0,0,0,0,2.5,0,0,120
LSOA,E01033457,0,20,60,30,0,0,0,0,20,10,20,0,0,160
LSOA,E01033457,0,10,20,2.5,2.5,0,0,0,10,10,20,0,0,70
LSOA,E01033457,0,10,100,10,0,2.5,0,0,0,0,0,0,0,110
LSOA,E01033457,0,10,60,2.5,0,2.5,2.5,0,2.5,2.5,0,0,0,80
LSOA,E01033457,0,10,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01033457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033463,0,0,120,640,80,20,2.5,2.5,0,2.5,10,2.5,0,870
LSOA,E01033463,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033463,0,0,0,0,0,10,0,2.5,0,0,2.5,0,0,10
LSOA,E01033463,0,0,10,2.5,10,10,0,0,0,0,2.5,0,0,40
LSOA,E01033463,0,0,50,90,50,0,0,0,0,0,2.5,2.5,0,190
LSOA,E01033463,0,0,40,480,10,10,0,0,0,0,0,0,0,540
LSOA,E01033463,0,0,20,60,2.5,2.5,2.5,0,0,0,2.5,0,0,80
LSOA,E01033463,0,0,10,10,0,0,0,0,0,2.5,0,0,0,20
LSOA,E01033463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033464,0,0,560,280,0,0,0,0,0,0,2.5,0,0,830
LSOA,E01033464,0,0,20,10,0,0,0,0,0,0,0,0,0,30
LSOA,E01033464,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033464,0,0,10,20,0,0,0,0,0,0,0,0,0,30
LSOA,E01033464,0,0,520,210,0,0,0,0,0,0,2.5,0,0,720
LSOA,E01033464,0,0,20,40,0,0,0,0,0,0,0,0,0,50
LSOA,E01033464,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033485,730,0,0,0,2.5,0,2.5,0,10,10,10,10,2.5,770
LSOA,E01033485,60,0,0,0,0,0,0,0,0,0,0,2.5,0,60
LSOA,E01033485,220,0,0,0,0,0,0,0,10,2.5,2.5,0,0,230
LSOA,E01033485,280,0,0,0,0,0,2.5,0,2.5,2.5,2.5,2.5,2.5,290
LSOA,E01033485,50,0,0,0,2.5,0,0,0,0,0,10,10,0,70
LSOA,E01033485,120,0,0,0,0,0,0,0,0,0,0,2.5,0,120
LSOA,E01033485,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033486,80,30,70,20,0,100,0,30,0,0,110,2.5,20,450
LSOA,E01033486,0,0,0,0,0,2.5,0,0,0,0,0,2.5,2.5,2.5
LSOA,E01033486,2.5,0,20,10,0,2.5,0,2.5,0,0,0,0,2.5,30
LSOA,E01033486,20,2.5,30,10,0,90,0,10,0,0,20,0,0,180
LSOA,E01033486,30,10,20,10,0,10,0,20,0,0,40,0,10,140
LSOA,E01033486,10,10,0,0,0,0,0,0,0,0,30,0,2.5,50
LSOA,E01033486,10,2.5,0,0,0,0,0,0,0,0,20,0,0,40
LSOA,E01033486,10,10,0,0,0,0,0,0,0,0,10,0,0,20
LSOA,E01033486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033487,0,0,0,0,0,0,0,0,0,0,630,0,20,650
LSOA,E01033487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033487,0,0,0,0,0,0,0,0,0,0,60,0,0,60
LSOA,E01033487,0,0,0,0,0,0,0,0,0,0,270,0,10,280
LSOA,E01033487,0,0,0,0,0,0,0,0,0,0,240,0,10,250
LSOA,E01033487,0,0,0,0,0,0,0,0,0,0,60,0,2.5,60
LSOA,E01033487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033488,180,2.5,50,10,0,90,30,80,0,2.5,200,50,2.5,680
LSOA,E01033488,30,0,0,0,0,0,0,0,0,0,0,0,0,30
LSOA,E01033488,20,0,10,0,0,30,0,2.5,0,0,0,0,0,60
LSOA,E01033488,50,0,10,2.5,0,2.5,2.5,30,0,0,70,0,0,170
LSOA,E01033488,40,0,20,2.5,0,60,20,40,0,2.5,130,10,2.5,320
LSOA,E01033488,30,2.5,2.5,0,0,0,2.5,10,0,0,2.5,30,0,80
LSOA,E01033488,2.5,0,2.5,0,0,0,0,0,0,0,0,10,0,10
LSOA,E01033488,2.5,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5
LSOA,E01033488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033489,420,0,50,0,0,2.5,0,10,0,30,460,590,10,1570
LSOA,E01033489,160,0,0,0,0,0,0,0,0,0,0,440,0,600
LSOA,E01033489,20,0,0,0,0,0,0,0,0,0,0,60,0,80
LSOA,E01033489,20,0,0,0,0,0,0,0,0,0,10,2.5,2.5,30
LSOA,E01033489,50,0,0,0,0,0,0,0,0,0,20,0,2.5,70
LSOA,E01033489,30,0,2.5,0,0,0,0,0,0,10,190,40,0,270
LSOA,E01033489,70,0,10,0,0,2.5,0,2.5,0,20,170,40,10,300
LSOA,E01033489,70,0,30,0,0,0,0,10,0,2.5,80,10,0,200
LSOA,E01033489,10,0,2.5,0,0,0,0,0,0,0,2.5,10,2.5,30
LSOA,E01033490,130,2.5,2.5,10,210,140,0,10,20,10,300,10,100,940
LSOA,E01033490,10,0,0,0,0,0,0,0,0,0,170,0,0,170
LSOA,E01033490,10,0,0,0,10,0,0,0,0,0,0,0,0,20
LSOA,E01033490,20,2.5,0,0,140,90,0,0,0,0,10,0,10,270
LSOA,E01033490,30,0,2.5,0,40,2.5,0,0,10,0,2.5,0,20,100
LSOA,E01033490,30,2.5,2.5,2.5,2.5,30,0,0,10,2.5,50,10,10,140
LSOA,E01033490,20,2.5,0,10,20,20,0,2.5,10,2.5,60,10,50,190
LSOA,E01033490,10,0,0,0,2.5,10,0,10,0,10,10,2.5,10,50
LSOA,E01033490,2.5,0,0,0,0,0,0,2.5,0,0,0,0,2.5,10
LSOA,E01033491,500,160,40,0,60,10,0,10,10,0,160,220,30,1200
LSOA,E01033491,80,0,0,0,0,0,0,0,0,0,50,0,2.5,130
LSOA,E01033491,50,0,0,0,2.5,10,0,0,0,0,0,2.5,0,70
LSOA,E01033491,100,10,40,0,30,0,0,0,0,0,20,0,2.5,200
LSOA,E01033491,130,60,10,0,30,0,0,10,0,0,40,130,10,410
LSOA,E01033491,90,50,0,0,0,2.5,0,0,10,0,50,90,2.5,280
LSOA,E01033491,30,30,0,0,0,0,0,0,2.5,0,10,2.5,10,70
LSOA,E01033491,30,10,0,0,0,0,0,0,0,0,2.5,0,0,40
LSOA,E01033491,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033492,170,10,0,0,0,0,0,0,0,2.5,530,400,2.5,1120
LSOA,E01033492,10,0,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01033492,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033492,10,0,0,0,0,0,0,0,0,2.5,180,0,0,190
LSOA,E01033492,90,2.5,0,0,0,0,0,0,0,0,150,170,2.5,410
LSOA,E01033492,30,10,0,0,0,0,0,0,0,0,160,210,0,400
LSOA,E01033492,10,0,0,0,0,0,0,0,0,0,50,20,0,90
LSOA,E01033492,20,0,0,0,0,0,0,0,0,0,0,2.5,0,20
LSOA,E01033492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033493,30,2.5,0,0,0,0,0,0,0,0,720,2.5,2.5,760
LSOA,E01033493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033493,10,0,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01033493,10,0,0,0,0,0,0,0,0,0,300,0,2.5,310
LSOA,E01033493,20,2.5,0,0,0,0,0,0,0,0,270,2.5,2.5,290
LSOA,E01033493,0,0,0,0,0,0,0,0,0,0,140,0,0,140
LSOA,E01033493,0,0,0,0,0,0,0,0,0,0,10,0,0,10
LSOA,E01033493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033494,460,70,0,0,2.5,20,10,0,0,90,2.5,2.5,10,670
LSOA,E01033494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033494,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033494,50,0,0,0,0,0,10,0,0,10,0,0,0,80
LSOA,E01033494,110,40,0,0,0,10,0,0,0,20,2.5,0,10,200
LSOA,E01033494,140,20,0,0,2.5,2.5,0,0,0,50,2.5,2.5,10,220
LSOA,E01033494,110,10,0,0,0,0,0,0,0,10,0,0,0,130
LSOA,E01033494,40,0,0,0,0,0,0,0,0,0,0,0,0,40
LSOA,E01033494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033568,2.5,0,0,0,0,0,0,0,0,240,490,460,10,1200
LSOA,E01033568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033568,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033568,2.5,0,0,0,0,0,0,0,0,20,50,20,0,90
LSOA,E01033568,0,0,0,0,0,0,0,0,0,60,190,150,2.5,400
LSOA,E01033568,0,0,0,0,0,0,0,0,0,50,210,110,0,370
LSOA,E01033568,0,0,0,0,0,0,0,0,0,60,20,150,2.5,240
LSOA,E01033568,0,0,0,0,0,0,0,0,0,50,10,40,0,100
LSOA,E01033568,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5
LSOA,E01033569,270,30,10,2.5,0,2.5,0,0,20,180,210,0,2.5,710
LSOA,E01033569,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033569,20,10,2.5,0,0,0,0,0,2.5,2.5,0,0,0,30
LSOA,E01033569,30,10,2.5,0,0,0,0,0,10,40,40,0,2.5,130
LSOA,E01033569,70,2.5,2.5,0,0,2.5,0,0,10,100,60,0,0,250
LSOA,E01033569,30,2.5,2.5,2.5,0,2.5,0,0,0,30,100,0,0,170
LSOA,E01033569,90,0,0,2.5,0,0,0,0,0,2.5,10,0,0,100
LSOA,E01033569,20,10,0,0,0,0,0,0,0,2.5,0,0,0,30
LSOA,E01033569,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01033570,0,0,30,0,0,10,2.5,2.5,0,0,710,0,10,750
LSOA,E01033570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033570,0,0,20,0,0,0,0,0,0,0,110,0,2.5,120
LSOA,E01033570,0,0,10,0,0,10,0,0,0,0,190,0,2.5,210
LSOA,E01033570,0,0,0,0,0,0,2.5,0,0,0,210,0,2.5,220
LSOA,E01033570,0,0,0,0,0,0,0,0,0,0,140,0,0,140
LSOA,E01033570,0,0,0,0,0,0,0,2.5,0,0,50,0,0,60
LSOA,E01033571,2.5,20,280,120,2.5,90,100,0,2.5,2.5,30,2.5,10,660
LSOA,E01033571,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5
LSOA,E01033571,0,0,2.5,0,0,40,0,0,0,0,0,0,0,50
LSOA,E01033571,0,0,2.5,2.5,0,30,60,0,0,0,0,0,2.5,100
LSOA,E01033571,0,2.5,30,40,0,10,40,0,0,0,0,0,10,130
LSOA,E01033571,0,2.5,80,30,0,0,2.5,0,0,2.5,0,0,0,110
LSOA,E01033571,2.5,10,80,40,0,0,0,0,0,0,2.5,2.5,2.5,130
LSOA,E01033571,2.5,2.5,80,20,2.5,0,2.5,0,2.5,0,0,0,0,100
LSOA,E01033571,2.5,10,2.5,0,0,0,0,0,0,0,30,0,0,40
LSOA,E01033572,0,0,100,300,20,10,0,80,20,2.5,100,470,2.5,1090
LSOA,E01033572,0,0,10,0,0,0,0,0,0,0,0,2.5,0,10
LSOA,E01033572,0,0,2.5,2.5,2.5,0,0,2.5,2.5,0,2.5,20,0,40
LSOA,E01033572,0,0,2.5,80,10,10,0,10,10,0,40,120,2.5,280
LSOA,E01033572,0,0,2.5,40,0,0,0,70,10,0,40,290,2.5,460
LSOA,E01033572,0,0,90,180,0,0,0,2.5,0,0,2.5,30,0,290
LSOA,E01033572,0,0,10,2.5,0,0,0,0,0,2.5,2.5,10,0,20
LSOA,E01033572,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01033572,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,2.5
LSOA,E01033573,0,0,0,0,0,0,0,0,0,2.5,620,330,10,950
LSOA,E01033573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033573,0,0,0,0,0,0,0,0,0,0,80,30,0,110
LSOA,E01033573,0,0,0,0,0,0,0,0,0,0,150,100,2.5,260
LSOA,E01033573,0,0,0,0,0,0,0,0,0,0,310,150,0,470
LSOA,E01033573,0,0,0,0,0,0,0,0,0,0,20,20,0,40
LSOA,E01033573,0,0,0,0,0,0,0,0,0,0,30,20,2.5,50
LSOA,E01033573,0,0,0,0,0,0,0,0,0,0,20,10,0,30
LSOA,E01033573,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5,10
LSOA,E01033574,0,0,0,0,0,0,0,0,0,0,550,0,0,550
LSOA,E01033574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033574,0,0,0,0,0,0,0,0,0,0,210,0,0,210
LSOA,E01033574,0,0,0,0,0,0,0,0,0,0,170,0,0,170
LSOA,E01033574,0,0,0,0,0,0,0,0,0,0,10,0,0,10
LSOA,E01033574,0,0,0,0,0,0,0,0,0,0,110,0,0,110
LSOA,E01033574,0,0,0,0,0,0,0,0,0,0,50,0,0,50
LSOA,E01033574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033575,160,0,0,0,0,2.5,0,0,0,0,380,0,0,540
LSOA,E01033575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033575,2.5,0,0,0,0,0,0,0,0,0,160,0,0,160
LSOA,E01033575,70,0,0,0,0,0,0,0,0,0,70,0,0,140
LSOA,E01033575,40,0,0,0,0,2.5,0,0,0,0,80,0,0,130
LSOA,E01033575,40,0,0,0,0,0,0,0,0,0,70,0,0,100
LSOA,E01033575,10,0,0,0,0,0,0,0,0,0,10,0,0,20
LSOA,E01033575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033576,2.5,0,0,0,80,50,20,30,0,0,440,40,0,660
LSOA,E01033576,0,0,0,0,0,0,0,30,0,0,0,0,0,30
LSOA,E01033576,2.5,0,0,0,30,0,20,2.5,0,0,10,10,0,80
LSOA,E01033576,0,0,0,0,50,40,0,0,0,0,230,20,0,350
LSOA,E01033576,0,0,0,0,0,10,0,0,0,0,100,2.5,0,110
LSOA,E01033576,0,0,0,0,0,0,0,0,0,0,40,0,0,40
LSOA,E01033576,0,0,0,0,0,2.5,0,0,0,0,50,0,0,50
LSOA,E01033576,0,0,0,0,0,0,0,0,0,0,10,0,0,10
LSOA,E01033576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033577,2.5,0,20,2.5,0,0,0,2.5,2.5,320,220,0,10,570
LSOA,E01033577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033577,0,0,0,2.5,0,0,0,0,0,20,2.5,0,2.5,20
LSOA,E01033577,2.5,0,20,0,0,0,0,2.5,0,110,30,0,0,160
LSOA,E01033577,0,0,0,0,0,0,0,0,0,90,40,0,10,140
LSOA,E01033577,0,0,0,0,0,0,0,0,2.5,90,120,0,2.5,210
LSOA,E01033577,0,0,0,0,0,0,0,0,0,10,20,0,2.5,30
LSOA,E01033577,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01033577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033578,2.5,0,0,0,2.5,0,100,40,0,0,260,990,10,1400
LSOA,E01033578,2.5,0,0,0,0,0,60,0,0,0,10,0,0,70
LSOA,E01033578,2.5,0,0,0,0,0,40,40,0,0,20,10,0,110
LSOA,E01033578,0,0,0,0,0,0,0,0,0,0,150,470,2.5,620
LSOA,E01033578,0,0,0,0,0,0,0,0,0,0,70,490,10,560
LSOA,E01033578,0,0,0,0,2.5,0,0,0,0,0,10,30,0,40
LSOA,E01033578,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5
LSOA,E01033578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033579,60,10,0,20,0,220,0,2.5,0,2.5,300,0,0,600
LSOA,E01033579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033579,40,2.5,0,2.5,0,90,0,0,0,2.5,0,0,0,130
LSOA,E01033579,20,10,0,10,0,120,0,2.5,0,0,130,0,0,290
LSOA,E01033579,2.5,0,0,0,0,10,0,0,0,0,170,0,0,180
LSOA,E01033579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033580,40,0,0,0,0,2.5,10,0,10,370,260,2.5,0,690
LSOA,E01033580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033580,10,0,0,0,0,0,0,0,0,2.5,10,0,0,20
LSOA,E01033580,30,0,0,0,0,2.5,0,0,0,190,120,2.5,0,340
LSOA,E01033580,2.5,0,0,0,0,0,2.5,0,10,90,30,0,0,130
LSOA,E01033580,2.5,0,0,0,0,0,2.5,0,2.5,90,80,0,0,180
LSOA,E01033580,0,0,0,0,0,0,0,0,0,0,20,0,0,20
LSOA,E01033580,0,0,0,0,0,0,0,0,0,0,10,0,0,10
LSOA,E01033580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033581,40,120,10,0,0,210,30,80,90,70,210,10,10,860
LSOA,E01033581,30,0,0,0,0,90,10,0,0,0,0,0,2.5,140
LSOA,E01033581,2.5,60,0,0,0,70,10,20,40,10,70,0,2.5,280
LSOA,E01033581,2.5,60,10,0,0,40,10,60,20,40,120,0,10,350
LSOA,E01033581,2.5,0,0,0,0,10,0,0,40,20,20,0,0,80
LSOA,E01033581,0,0,0,0,0,0,0,0,0,0,2.5,10,0,10
LSOA,E01033581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033582,20,2.5,0,0,0,0,0,0,30,0,580,0,0,630
LSOA,E01033582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033582,10,2.5,0,0,0,0,0,0,0,0,70,0,0,70
LSOA,E01033582,10,0,0,0,0,0,0,0,10,0,90,0,0,110
LSOA,E01033582,10,0,0,0,0,0,0,0,10,0,100,0,0,120
LSOA,E01033582,0,0,0,0,0,0,0,0,10,0,290,0,0,300
LSOA,E01033582,2.5,0,0,0,0,0,0,0,10,0,30,0,0,40
LSOA,E01033582,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01033582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033583,190,2.5,0,0,2.5,10,670,130,20,2.5,420,2980,90,4510
LSOA,E01033583,10,0,0,0,0,0,150,0,0,0,0,60,0,220
LSOA,E01033583,30,2.5,0,0,0,0,370,100,10,2.5,30,10,2.5,560
LSOA,E01033583,120,0,0,0,0,10,120,10,0,2.5,160,420,10,860
LSOA,E01033583,30,0,0,0,0,2.5,30,20,10,0,220,2380,70,2760
LSOA,E01033583,2.5,0,0,0,2.5,0,0,0,0,0,10,100,2.5,120
LSOA,E01033583,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5
LSOA,E01033583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033584,0,0,0,0,90,160,10,130,0,20,170,0,2.5,580
LSOA,E01033584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033584,0,0,0,0,20,50,2.5,70,0,0,40,0,0,180
LSOA,E01033584,0,0,0,0,60,80,10,70,0,20,110,0,2.5,340
LSOA,E01033584,0,0,0,0,2.5,30,2.5,0,0,2.5,30,0,0,60
LSOA,E01033584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033585,20,2.5,2.5,0,250,160,340,70,30,0,240,10,10,1140
LSOA,E01033585,2.5,0,0,0,30,10,80,0,2.5,0,2.5,2.5,0,130
LSOA,E01033585,10,2.5,2.5,0,60,50,170,10,30,0,10,0,10,350
LSOA,E01033585,2.5,0,0,0,130,80,70,50,0,0,120,10,2.5,460
LSOA,E01033585,2.5,0,0,0,30,20,30,10,0,0,110,2.5,2.5,200
LSOA,E01033585,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01033585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033586,90,20,0,100,2.5,10,140,0,80,50,140,170,2.5,790
LSOA,E01033586,2.5,20,0,0,0,0,60,0,30,0,0,0,0,110
LSOA,E01033586,50,0,0,2.5,0,10,40,0,40,0,30,0,0,160
LSOA,E01033586,30,0,0,100,2.5,0,40,0,20,40,60,70,2.5,360
LSOA,E01033586,10,0,0,0,0,0,0,0,0,10,50,100,0,160
LSOA,E01033586,0,0,0,0,0,0,0,0,0,0,0,10,0,10
LSOA,E01033586,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01033586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01033587,0,2.5,10,0,10,10,40,270,0,2.5,320,130,20,800
LSOA,E01033587,0,2.5,2.5,0,0,2.5,10,170,0,2.5,10,0,20,210
LSOA,E01033587,0,0,0,0,10,0,20,110,0,0,20,60,0,220
LSOA,E01033587,0,0,10,0,0,2.5,0,0,0,0,290,60,0,370
LSOA,E01033587,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01033587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
