G,ECODE,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
LAUA,E09000012,9900,1950,650,1690,2540,2730,2100,3150,1560,1290,3660,1710,280,33190
LAUA,E09000012,7630,1370,190,220,630,270,270,1250,950,1280,4070,2800,250,21170
LAUA,E09000012,5720,790,90,160,220,30,40,90,370,660,1410,1080,130,10790
LAUA,E09000012,2600,550,60,140,110,2.5,2.5,20,20,200,220,160,30,4100
LAUA,E09000012,800,130,20,30,30,0,2.5,2.5,10,10,50,30,10,1110
LAUA,E09000012,20,2.5,0,2.5,2.5,0,2.5,2.5,2.5,2.5,10,2.5,10,50
LAUA,E09000013,44510,7140,3370,5580,2190,3050,3010,3560,3870,1930,4250,2160,540,85150
LAUA,E09000013,690,40,160,1150,160,150,600,170,10,20,260,340,60,3800
LAUA,E09000013,1000,310,320,1100,430,610,670,740,300,80,130,70,20,5770
LAUA,E09000013,5640,360,430,1300,550,1570,1040,1410,860,320,570,110,100,14250
LAUA,E09000013,14580,1830,1280,1120,810,540,420,620,690,390,1300,610,130,24310
LAUA,E09000013,8820,1930,930,330,170,140,90,270,530,460,860,440,100,15060
LAUA,E09000013,5650,1120,110,370,60,20,100,240,360,410,370,170,60,9030
LAUA,E09000013,6850,1370,130,190,20,30,60,100,870,220,580,300,60,10770
LAUA,E09000013,1290,190,10,20,2.5,0,20,10,270,30,180,120,20,2160
LAUA,E09000014,41290,19950,7900,4540,2480,3710,7500,6580,2930,2480,4620,2300,380,106650
LAUA,E09000014,2770,830,160,70,100,600,2360,440,60,10,90,60,30,7560
LAUA,E09000014,7360,2320,400,300,380,860,1970,2390,800,490,620,430,110,18400
LAUA,E09000014,12360,5880,2640,1530,1000,1290,1800,1840,1300,740,1750,890,110,33140
LAUA,E09000014,10040,5370,2620,1290,700,570,850,1340,460,760,1430,560,60,26040
LAUA,E09000014,4780,2380,810,480,170,260,340,420,170,250,400,240,30,10740
LAUA,E09000014,2290,1470,610,420,40,60,50,40,60,90,210,60,30,5420
LAUA,E09000014,1560,1600,500,360,80,60,110,100,80,100,70,40,10,4650
LAUA,E09000014,140,100,160,110,20,20,20,10,10,30,50,40,10,700
LAUA,E09000015,2420,7300,9740,40030,4390,4280,3780,4230,3970,1300,4340,2430,160,88360
LAUA,E09000015,60,110,60,100,20,2.5,50,70,20,10,10,60,10,590
LAUA,E09000015,130,300,160,780,220,240,310,490,320,60,300,120,10,3440
LAUA,E09000015,770,2490,1070,5110,1800,1370,1100,1780,1460,290,1060,940,40,19290
LAUA,E09000015,670,2570,2990,14750,1160,950,850,990,890,250,1230,780,30,28100
LAUA,E09000015,420,970,3290,13620,480,490,420,270,450,290,800,300,20,21810
LAUA,E09000015,140,400,1360,3460,290,490,280,240,410,160,480,110,10,7830
LAUA,E09000015,170,370,690,1950,370,620,660,340,340,150,360,70,20,6110
LAUA,E09000015,70,80,110,250,50,110,100,50,90,100,110,50,10,1180
LAUA,E09000016,1730,3510,3900,34620,16050,14540,7980,5460,3710,2060,5380,3180,450,102570
LAUA,E09000016,50,110,50,220,2080,560,880,540,150,260,130,50,80,5160
LAUA,E09000016,200,300,190,1150,1620,2110,1750,1230,760,240,640,350,110,10640
LAUA,E09000016,940,1390,1010,4840,7660,2360,1740,1460,1070,510,2100,1480,120,26670
LAUA,E09000016,290,810,1370,17180,2920,4960,2730,1260,760,430,1720,930,60,35400
LAUA,E09000016,90,420,590,6890,1240,3580,500,410,380,260,450,190,40,15050
LAUA,E09000016,70,240,290,3460,330,640,170,220,380,200,180,120,20,6320
LAUA,E09000016,80,210,390,840,180,330,200,330,160,160,110,40,20,3030
LAUA,E09000016,10,40,20,40,10,20,10,30,40,10,50,30,10,300
LAUA,E09000017,2060,3040,8250,35120,11060,10830,7810,7950,8460,3950,5800,3910,270,108510
LAUA,E09000017,40,30,20,110,30,160,70,30,20,10,260,100,10,890
LAUA,E09000017,140,140,110,560,250,600,520,1440,1390,270,190,90,20,5720
LAUA,E09000017,340,440,340,3450,2000,3330,2600,3130,3230,1080,1900,1510,70,23410
LAUA,E09000017,900,1460,4970,18380,5510,3360,2430,2140,1860,1320,1730,990,100,45150
LAUA,E09000017,350,590,1200,8140,2080,1670,760,520,820,640,800,660,30,18260
